	ahos	apis
Number of genes	2329	24037
Number of genes in orthogroups	1306	20453
Number of unassigned genes	1023	3584
Percentage of genes in orthogroups	56.1	85.1
Percentage of unassigned genes	43.9	14.9
Number of orthogroups containing species	682	3825
Percentage of orthogroups containing species	16.8	94.3
Number of species-specific orthogroups	230	3373
Number of genes in species-specific orthogroups	725	19735
Percentage of genes in species-specific orthogroups	31.1	82.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	3373	230
'1	378	328
'2	185	1463
'3	61	657
'4	22	388
'5	13	212
'6	5	168
'7	7	93
'8	0	88
'9	1	50
'10	4	51
11-15	4	120
16-20	1	48
21-50	1	125
51-100	0	29
101-150	0	2
151-200	0	2
201-500	0	1
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	83.2	5.7
'1	9.3	8.1
'2	4.6	36.1
'3	1.5	16.2
'4	0.5	9.6
'5	0.3	5.2
'6	0.1	4.1
'7	0.2	2.3
'8	0.0	2.2
'9	0.0	1.2
'10	0.1	1.3
11-15	0.1	3.0
16-20	0.0	1.2
21-50	0.0	3.1
51-100	0.0	0.7
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	378	328
'2	370	2926
'3	183	1971
'4	88	1552
'5	65	1060
'6	30	1008
'7	49	651
'8	0	704
'9	9	450
'10	40	510
11-15	54	1535
16-20	16	867
21-50	24	3908
51-100	0	2170
101-150	0	246
151-200	0	366
201-500	0	201
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	16.2	1.4
'2	15.9	12.2
'3	7.9	8.2
'4	3.8	6.5
'5	2.8	4.4
'6	1.3	4.2
'7	2.1	2.7
'8	0.0	2.9
'9	0.4	1.9
'10	1.7	2.1
11-15	2.3	6.4
16-20	0.7	3.6
21-50	1.0	16.3
51-100	0.0	9.0
101-150	0.0	1.0
151-200	0.0	1.5
201-500	0.0	0.8
501-1000	0.0	0.0
'1001+	0.0	0.0
